algorithm,grid_rows,grid_cols,n_zones,n_candidate_edges,density,n_active_edges,seed,K,wall_s,mean_rel,p95_rel,max_rel,max_abs
matrix_squaring,5,5,25,116,0.75,87,0,4,9.604200022295117e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,0,5,0.00011979200644418597,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,0,6,0.0001420410117134452,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,0,7,0.00016550003783777356,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,1,1,2.579198917374015e-05,0.3829531760580044,2.5692567628480405,3.203935863776808,883.9285714285714
bellman_ford,5,5,25,116,0.75,87,1,2,4.975002957507968e-05,0.014091485937858271,0.0,2.135957242517872,589.2857142857143
bellman_ford,5,5,25,116,0.75,87,1,4,9.662500815466046e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,1,8,0.0001919579808600247,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,1,16,0.0003791250055655837,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,1,24,0.0005670000100508332,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,1,32,0.0007602500263601542,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,1,1,2.4749955628067255e-05,0.3829531760580044,2.5692567628480405,3.203935863776808,883.9285714285714
matrix_squaring,5,5,25,116,0.75,87,1,2,4.904199158772826e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,1,3,6.912497337907553e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,1,4,9.133398998528719e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,1,5,0.00011433300096541643,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,1,6,0.00012870901264250278,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,1,7,0.00014816696057096124,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,2,1,2.2958964109420776e-05,0.3949088222559872,2.34771553102074,2.873282043817242,941.4740842803456
bellman_ford,5,5,25,116,0.75,87,2,2,4.312500823289156e-05,0.0028176673440982775,0.0,0.16257038496822132,51.77669529663689
bellman_ford,5,5,25,116,0.75,87,2,4,9.241601219400764e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,2,8,0.00018054101383313537,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,2,16,0.0003308749874122441,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,2,24,0.0005312079447321594,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.75,87,2,32,0.0007169159944169223,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,2,1,2.3625034373253584e-05,0.3949088222559872,2.34771553102074,2.873282043817242,941.4740842803456
matrix_squaring,5,5,25,116,0.75,87,2,2,4.654197255149484e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,2,3,6.666703848168254e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,2,4,7.079198257997632e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,2,5,8.841697126626968e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,2,6,0.00010466697858646512,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.75,87,2,7,0.0001223749713972211,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,0,1,1.916696783155203e-05,0.14414516325625645,2.0814440748149066,3.1428571428571432,833.3758492555739
bellman_ford,5,5,25,116,1.0,116,0,2,3.633397864177823e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,0,4,7.116695633158088e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,0,8,0.00013945897808298469,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,0,16,0.0002793750027194619,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,0,24,0.00042391702299937606,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,0,32,0.0005975000094622374,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,0,1,2.2666004952043295e-05,0.14414516325625645,2.0814440748149066,3.1428571428571432,833.3758492555739
matrix_squaring,5,5,25,116,1.0,116,0,2,4.4666987378150225e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,0,3,6.579200271517038e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,0,4,8.73749959282577e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,0,5,0.0001010000123642385,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,0,6,0.00011549994815140963,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,0,7,0.00013449997641146183,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,1,1,2.1041021682322025e-05,0.14414516325625645,2.0814440748149066,3.1428571428571432,833.3758492555739
bellman_ford,5,5,25,116,1.0,116,1,2,4.050001734867692e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,1,4,7.758301217108965e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,1,8,0.00015300000086426735,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,1,16,0.0003107920056208968,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,1,24,0.0004598749801516533,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,1,32,0.0006082080071792006,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,1,1,2.0249979570508003e-05,0.14414516325625645,2.0814440748149066,3.1428571428571432,833.3758492555739
matrix_squaring,5,5,25,116,1.0,116,1,2,3.991700941696763e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,1,3,5.816703196614981e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,1,4,7.712497608736157e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,1,5,9.641703218221664e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,1,6,0.00011554203229025006,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,1,7,0.0001342499745078385,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,2,1,2.13750172406435e-05,0.14414516325625645,2.0814440748149066,3.1428571428571432,833.3758492555739
bellman_ford,5,5,25,116,1.0,116,2,2,3.9583013858646154e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,2,4,7.779203588142991e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,2,8,0.00015445798635482788,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,2,16,0.000305499997921288,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,2,24,0.0004825000069104135,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,1.0,116,2,32,0.0006865410250611603,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,2,1,2.195802517235279e-05,0.14414516325625645,2.0814440748149066,3.1428571428571432,833.3758492555739
matrix_squaring,5,5,25,116,1.0,116,2,2,3.9624981582164764e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,2,3,5.987496115267277e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,2,4,8.083297871053219e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,2,5,9.67920059338212e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,2,6,0.00012562499614432454,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,1.0,116,2,7,0.00013375002890825272,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,0,1,0.0012804580037482083,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,0,2,0.0024053339730016887,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,0,4,0.0037756250239908695,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,0,8,0.006969958019908518,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,0,16,0.01375879201805219,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,0,24,0.019777000008616596,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,0,32,0.026077624992467463,0.0,0.0,0.0,0.0
matrix_squaring,10,10,100,426,0.0,0,0,1,0.000740916992072016,0.0,0.0,0.0,0.0
matrix_squaring,10,10,100,426,0.0,0,0,2,0.0016675000078976154,0.0,0.0,0.0,0.0
matrix_squaring,10,10,100,426,0.0,0,0,3,0.002411041990853846,0.0,0.0,0.0,0.0
matrix_squaring,10,10,100,426,0.0,0,0,4,0.0031362909940071404,0.0,0.0,0.0,0.0
matrix_squaring,10,10,100,426,0.0,0,0,5,0.0038700420409440994,0.0,0.0,0.0,0.0
matrix_squaring,10,10,100,426,0.0,0,0,6,0.004669125017244369,0.0,0.0,0.0,0.0
matrix_squaring,10,10,100,426,0.0,0,0,7,0.005664874974172562,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,1,1,0.0007794169941917062,0.0,0.0,0.0,0.0
bellman_ford,10,10,100,426,0.0,0,1,2,0.0015439169947057962,0.0,0.0,0.0,0.0
